GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradle-4-Integration-Tests,edu.odu.cs.cs350.examples.numbers,PrimeGenerator,2,158,1,15,1,38,1,18,0,11
Gradle-4-Integration-Tests,edu.odu.cs.cs350.examples.numbers,RunPrimeGenerator,40,27,2,0,10,10,3,2,2,2
